DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9,10,0,0,0,0,0,0,0
11,10,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,12,13,0,0,0,0,0,0,0
14,13,14,0,0,0,0,0,0,0
15,14,15,0,0,0,0,0,0,0
16,15,16,0,0,0,0,0,0,0
17,16,17,0,0,0,0,0,0,0
18,17,18,0,0,0,0,0,0,0
19,18,19,0,0,0,0,0,0,0
20,19,20,0,0,0,0,0,0,0
21,20,21,0,0,0,0,0,0,0
22,21,22,0,0,0,0,0,0,0
23,22,23,0,0,0,0,0,0,0
24,23,24,0,0,0,0,0,0,0
25,24,25,0,0,0,0,0,0,0
26,24.7,26,0,0,0,0,0,0,0
27,25.7,27,0,0,0,0,0,0,0
28,26.7,28,0,0,0,0,0,0,0
29,27.7,29,0,0,0,0,0,0,0
30,28.7,30,0,0,0,0,0,0,0
31,29.7,31,0,0,0,0,0,0,0
32,30.7,32,0,0,0,0,0,0,0
33,31.7,33,0,0,0,0,0,0,0
34,32.7,34,0,0,0,0,0,0,0
35,33.7,35,0,0,0,0,0,0,0
36,34.7,36,0,0,0,0,0,0,0
37,35.7,37,0,0,0,0,0,0,0
38,36.7,38,0,0,0,0,0,0,0
39,37.7,39,0,0,0,0,0,0,0
40,38.7,40,0,0,0,0,0,0,0
41,39.7,41,0,0,0,0,0,0,0
42,40.7,42,0,0,0,0,0,0,0
43,41.7,43,0,0,0,0,0,0,0
44,42.39,44,0,0,0,0,0,0,0
45,43.39,45,0,0,0,0,0,0,0
46,44.39,46,0,0,0,0,0,0,0
47,45.39,47,0,0,0,0,0,0,0
48,46.39,48,0,0,0,0,0,0,0
49,47.39,49,0,0,0,0,0,0,0
50,48.39,50,0,0,0,0,0,0,0
51,49.39,51,0,0,0,0,0,0,0
52,50.39,52,0,0,0,0,0,0,0
53,51.39,53,0,0,0,0,0,0,0
54,52.39,54,0,0,0,0,0,0,0
55,53.39,55,0,0,0,0,0,0,0
56,54.39,56,0,0,0,0,0,0,0
57,55.39,57,0,0,0,0,0,0,0
58,56.39,58,0,0,0,0,0,0,0
59,57.39,59,0,0,0,0,0,0,0
60,58.39,60,0,0,0,0,0,0,0
61,59.39,61,0,0,0,0,0,0,0
62,60.39,62,0,0,0,0,0,0,0
