ID,LID,Width,Color,type,LinkID
214,229,0.2,Y,0,0
215,230,0.2,Y,0,0
216,231,0.2,Y,0,0
217,232,0.2,Y,0,0
218,233,0.2,Y,0,0
219,234,0.2,Y,0,0
220,235,0.2,W,0,0
221,236,0.2,Y,0,0
222,237,0.2,Y,0,0
223,238,0.2,Y,0,0
224,239,0.2,Y,0,0
225,240,0.2,Y,0,0
226,241,0.2,Y,0,0
227,242,0.2,Y,0,0
228,243,0.2,Y,0,0
229,244,0.2,Y,0,0
230,245,0.2,Y,0,0
231,246,0.2,Y,0,0
232,247,0.2,Y,0,0
233,248,0.2,Y,0,0
234,249,0.2,Y,0,0
235,250,0.2,Y,0,0
236,251,0.2,Y,0,0
237,252,0.2,Y,0,0
238,253,0.2,Y,0,0
239,254,0.2,Y,0,0
240,255,0.2,Y,0,0
241,256,0.2,Y,0,0
242,257,0.2,Y,0,0
243,258,0.2,Y,0,0
244,259,0.2,Y,0,0
245,260,0.2,Y,0,0
246,261,0.2,Y,0,0
247,262,0.2,Y,0,0
248,263,0.2,Y,0,0
249,264,0.2,Y,0,0
250,265,0.2,Y,0,0
251,266,0.2,Y,0,0
252,267,0.2,Y,0,0
253,268,0.2,Y,0,0
254,269,0.2,Y,0,0
255,270,0.2,Y,0,0
256,271,0.2,Y,0,0
257,272,0.2,Y,0,0
258,273,0.2,Y,0,0
259,274,0.2,W,0,0
260,275,0.2,W,0,0
261,276,0.2,W,0,0
262,277,0.2,W,0,0
263,278,0.2,W,0,0
264,279,0.2,W,0,0
265,280,0.2,W,0,0
266,281,0.2,W,0,0
267,282,0.2,W,0,0
268,283,0.2,W,0,0
269,284,0.2,W,0,0
270,285,0.2,W,0,0
271,286,0.2,W,0,0
272,287,0.2,W,0,0
273,288,0.2,W,0,0
274,289,0.2,W,0,0
275,290,0.2,W,0,0
276,291,0.2,W,0,0
277,292,0.2,W,0,0
278,293,0.2,W,0,0
279,294,0.2,W,0,0
280,295,0.2,W,0,0
281,296,0.2,W,0,0
282,297,0.2,W,0,0
283,298,0.2,W,0,0
284,299,0.2,W,0,0
285,300,0.2,W,0,0
286,301,0.2,W,0,0
287,302,0.2,W,0,0
288,303,0.2,W,0,0
289,304,0.2,W,0,0
290,305,0.2,W,0,0
291,306,0.2,Y,0,0
292,307,0.2,W,0,0
293,308,0.2,W,0,0
294,309,0.2,W,0,0
