PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
120,0,0,-1,-59.45,-39.4,0,0,0,0
121,0,0,-1,-60.42,-39.64,0,0,0,0
122,0,0,-1,-61.39,-39.89,0,0,0,0
123,0,0,-1,-62.36,-40.13,0,0,0,0
124,0,0,-1,-63.33,-40.37,0,0,0,0
125,0,0,-1,-64.3,-40.61,0,0,0,0
126,0,0,-1,-65.27,-40.85,0,0,0,0
127,0,0,-1,-66.24,-41.09,0,0,0,0
128,0,0,-1,-67.21,-41.33,0,0,0,0
129,0,0,-1,-68.19,-41.57,0,0,0,0
130,0,0,-1,-69.16,-41.81,0,0,0,0
131,0,0,-1,-70.13,-42.05,0,0,0,0
132,0,0,-1,-71.1,-42.29,0,0,0,0
133,0,0,-1,-72.07,-42.53,0,0,0,0
134,0,0,-1,-73.04,-42.77,0,0,0,0
135,0,0,-1,-74.01,-43.01,0,0,0,0
136,0,0,-1,-74.98,-43.24,0,0,0,0
137,0,0,-1,-75.95,-43.48,0,0,0,0
138,0,0,-1,-76.92,-43.72,0,0,0,0
139,0,0,-1,-77.89,-43.96,0,0,0,0
140,0,0,-1,-78.87,-44.2,0,0,0,0
141,0,0,-1,-79.84,-44.44,0,0,0,0
142,0,0,-1,-80.81,-44.68,0,0,0,0
143,0,0,-1,-81.78,-44.92,0,0,0,0
144,0,0,-1,-82.75,-45.15,0,0,0,0
145,0,0,-1,-83.72,-45.39,0,0,0,0
146,0,0,-1,-84.69,-45.63,0,0,0,0
147,0,0,-1,-85.66,-45.87,0,0,0,0
148,0,0,-1,-86.64,-46.11,0,0,0,0
149,0,0,-1,-87.61,-46.34,0,0,0,0
150,0,0,-1,-88.58,-46.58,0,0,0,0
151,0,0,-1,-89.55,-46.82,0,0,0,0
152,0,0,-1,-90.52,-47.06,0,0,0,0
153,0,0,-1,-91.49,-47.3,0,0,0,0
154,0,0,-1,-92.46,-47.53,0,0,0,0
155,0,0,-1,-93.43,-47.77,0,0,0,0
156,0,0,-1,-94.41,-48.01,0,0,0,0
157,0,0,-1,-95.38,-48.25,0,0,0,0
158,0,0,-1,-96.35,-48.48,0,0,0,0
159,0,0,-1,-97.32,-48.72,0,0,0,0
160,0,0,-1,-98.29,-48.96,0,0,0,0
161,0,0,-1,-99.26,-49.2,0,0,0,0
